2026-05-28 11:16:12:1542	Application started
2026-05-28 11:16:12:1937	导航到: Dashboard
2026-05-28 11:16:17:5725	已加载 3 个任务
2026-05-28 11:16:17:5725	检测页面已加载
2026-05-28 11:16:17:5775	导航到: Detection
2026-05-28 11:16:23:7255	导航到: Detection
2026-05-28 11:16:24:3641	导航到: Products
2026-05-28 11:16:26:9572	导航到: Tasks
2026-05-28 11:16:28:7340	导航到: Logs
2026-05-28 11:16:29:5929	导航到: Settings
2026-05-28 11:16:32:7580	导航到: UserManagement
2026-05-28 11:16:32:9261	导航到: UserManagement
2026-05-28 11:16:34:2239	导航到: Settings
2026-05-28 11:16:41:5060	用户退出系统
