2026-05-26 13:41:33.388 INFO  [18340] [CServerManager::PrintLog@36267] ======================================== 4.2.0 build Sep  6 2022 10:18:34 Start Print Log ========================================

2026-05-26 13:41:33.416 INFO  [18340] [CClientManager::InitAuthorization@5906] begin.

2026-05-26 13:41:33.491 INFO  [18340] [CClientManager::CheckLicense@6631] start

2026-05-26 13:41:33.491 INFO  [18340] [CClientManager::CheckLicense@6683] end

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::InitAuthorization@5962] SDK: InitAuthorization, authorization check successful.

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::InitAuthorization@5966] end.

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::Init@5408] begin.

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::DeInitPair@5695] start

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::DeInitPair@5709] end

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::DeInitPair@5695] start

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::DeInitPair@5709] end

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::Init@5426] end.nRet[0]

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::PF_DetectAndStartServer@12450] begin.

2026-05-26 13:41:33.859 INFO  [18340] [CServerManager::DetectService@33992] SDK: DetectService by OpenSCManager start

2026-05-26 13:41:33.859 INFO  [18340] [CServerManager::DetectService@34057] end

2026-05-26 13:41:33.859 INFO  [18340] [CClientManager::PF_DetectAndStartServer@12645] end.

2026-05-26 13:41:33.868 INFO  [18340] [CClientManager::PF_CreateHandle@1447] begin. nHandleType:[0]

2026-05-26 13:41:33.874 INFO  [18340] [CClientManager::PF_CreateHandle@1475] SDK: Third software start server by exe.

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::SM_Init@388] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInit@23691] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::StopModuResSub@24968] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::StopModuResSub@24978] end

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::StopSub@24844] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::StopSub@24854] end

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::StopHeartPair@25850] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::StopHeartPair@25858] end

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitReadSendBuffer@23798] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitReadSendBuffer@23820] end

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitHeartPair@24496] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::StopHeartPair@25850] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::StopHeartPair@25858] end

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitHeartPair@24511] end

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitSub@23975] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitSub@23989] end

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitProxySub@24078] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitProxySub@24093] end

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::DeInitReq@24353] start

2026-05-26 13:41:33.874 INFO  [18340] [CServerManager::UnRegisterModule@24777] start

2026-05-26 13:41:33.874 WARN  [18340] [CServerManager::UnRegisterModule@24780] SDK: m_hCommunicationReq is NULL.

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::NotifyServerDestroy4Export@12373] start

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::NotifyServerDestroy4Export@12389] end

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::DeInitReq@24378] end

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::DeInit@23729] end

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::InitReadSendBuffer@23740] start

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::DeInitReadSendBuffer@23798] start

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::DeInitReadSendBuffer@23820] end

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::InitReadSendBuffer@23787] end

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::SM_Init@423] SDK: InitReadSendBuffer success.pstPlatformBasicInfo->nRepIp[0x7f000001],nport[5556]

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::SM_Init@442] SDK: GetAdapterInfo success. Info:[127.0.0.1]

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::InitSub@23894] start

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::DeInitSub@23975] start

2026-05-26 13:41:33.876 INFO  [18340] [CServerManager::DeInitSub@23989] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitSub@23964] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::SM_Init@480] SDK: InitSub success.

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitProxySub@23999] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::DeInitProxySub@24078] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::DeInitProxySub@24093] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitProxySub@24067] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::SM_Init@489] SDK: InitProxySub success.

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitHeartPair@24383] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::DeInitHeartPair@24496] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::StopHeartPair@25850] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::StopHeartPair@25858] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::DeInitHeartPair@24511] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitHeartPair@24418] SDK: request heartbeat addr[tcp://127.0.0.1:61240]

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitHeartPair@24489] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::SM_Init@497] SDK: InitHeartPair success.

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitReq@24103] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::DeInitReq@24353] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::UnRegisterModule@24777] start

2026-05-26 13:41:33.900 WARN  [18340] [CServerManager::UnRegisterModule@24780] SDK: m_hCommunicationReq is NULL.

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::NotifyServerDestroy4Export@12373] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::NotifyServerDestroy4Export@12389] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::DeInitReq@24378] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitReq@24160] Bind address:[tcp://127.0.0.1:61241]

