2026-05-26 14:23:28.772 WARN  [19848] [CMQCommBaseClient::ConnectToServer@766] connect to server [127.0.0.1:65074] failed[-1],m_hSocketHandle[00000000000017AC],error[10060]

2026-05-26 14:23:28.774 ERROR [19848] [CMQCommBaseClient::Connect@244] Connect server addr[tcp://127.0.0.1:65074] failed ,close socket,pIocp[000001AF4C28DAE0],pClient object[000001AF439343B0]

2026-05-26 14:23:28.774 INFO  [19848] [CMQCommBaseClient::PostReconnToServerEvent@674] post reconnect to server event,this[000001AF439343B0]

2026-05-26 14:23:28.774 INFO  [19848] [CMQCommPairClient::ProcessReconnect@126] reconnect to server[tcp://127.0.0.1:65074] succ!!!

2026-05-26 14:23:28.774 INFO  [13228] [ProcClientEventCb@78] Recv Event Type[2],client obj[000001AF439343B0]

2026-05-26 14:23:28.774 INFO  [13228] [CMQCommBaseClient::ProcessSocketExceptionEvent@527] ---start process socket exception event,this[000001AF439343B0]

2026-05-26 14:23:28.774 INFO  [13228] [CMQCommBaseClient::ProcessSocketExceptionEvent@535] ---start process socket exception event,this[000001AF439343B0]---wait thread

2026-05-26 14:23:28.774 INFO  [13228] [CMQCommBaseClient::ProcessSocketExceptionEvent@541] ---start process socket exception event,this[000001AF439343B0]---wait thread---ret

2026-05-26 14:23:28.775 INFO  [13228] [CMQCommBaseClient::ProcessSocketExceptionEvent@543] ---start process socket exception event,this[000001AF439343B0]---after create thread

2026-05-26 14:23:28.775 INFO  [21544] [ThreadForReconnToServer@101] recv reconnect to server,client[000001AF439343B0],serverip[tcp://127.0.0.1:65074],client type[0]

2026-05-26 14:23:28.775 INFO  [21544] [CMQCommPairClient::ProcessReconnect@111] m_bCallConn[1],m_bNeedReconn[1]

2026-05-26 14:23:28.775 INFO  [21544] [CMQCommPairClient::Connect@41] want to connect to server [tcp://127.0.0.1:65074],client type[PairC], connect timeout is[0]ms

2026-05-26 14:23:28.775 INFO  [21544] [CMQCommBaseClient::Connect@223] mq client type[0]---connect server[127.0.0.1:65074], nLoopTimes[2],nConnTimeout[0]

2026-05-26 14:23:28.875 WARN  [21544] [CMQCommBaseClient::ConnectToServer@766] connect to server [127.0.0.1:65074] failed[-1],m_hSocketHandle[00000000000017F0],error[10060]

2026-05-26 14:23:28.977 WARN  [21544] [CMQCommBaseClient::ConnectToServer@766] connect to server [127.0.0.1:65074] failed[-1],m_hSocketHandle[00000000000017F0],error[10060]

